"ano_pesquisa","senioridade","quantidade","total_validos","percentual","ranking"
"2023","Sênior","1419","3857","36.79","1"
"2023","Pleno","1392","3857","36.09","2"
"2023","Júnior","1046","3857","27.12","3"
"2024","Sênior","1572","3816","41.19","1"
"2024","Pleno","1376","3816","36.06","2"
"2024","Júnior","868","3816","22.75","3"
"2025","Sênior","858","2500","34.32","1"
"2025","Pleno","775","2500","31.0","2"
"2025","Júnior","518","2500","20.72","3"
"2025","Especialista/Staff+","349","2500","13.96","4"
