"ano_pesquisa","genero","quantidade","total_validos","percentual"
"2023","Masculino","3975","5293","75.1"
"2023","Feminino","1293","5293","24.43"
"2023","Prefiro não informar","16","5293","0.3"
"2023","Outro","9","5293","0.17"
"2024","Masculino","3967","5215","76.07"
"2024","Feminino","1225","5215","23.49"
"2024","Prefiro não informar","15","5215","0.29"
"2024","Outro","8","5215","0.15"
"2025","Masculino","2707","3494","77.48"
"2025","Feminino","767","3494","21.95"
"2025","Prefiro não informar","13","3494","0.37"
"2025","Outro","7","3494","0.2"
