"ano_pesquisa","regiao","quantidade","percentual"
"2023","Sudeste","3173","61.39"
"2023","Sul","961","18.59"
"2023","Nordeste","608","11.76"
"2023","Centro-oeste","344","6.66"
"2023","Norte","83","1.61"
"2024","Sudeste","3131","61.72"
"2024","Sul","1030","20.3"
"2024","Nordeste","516","10.17"
"2024","Centro-oeste","332","6.54"
"2024","Norte","64","1.26"
"2025","Sudeste","2170","64.41"
"2025","Sul","540","16.03"
"2025","Nordeste","380","11.28"
"2025","Centro-oeste","231","6.86"
"2025","Norte","48","1.42"
