"ano_pesquisa","modelo_trabalho","quantidade","percentual"
"2023","Modelo 100% remoto","2201","46.31"
"2023","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","972","20.45"
"2023","Modelo 100% presencial","790","16.62"
"2023","Modelo híbrido com dias fixos de trabalho presencial","790","16.62"
"2024","Modelo 100% remoto","2221","45.69"
"2024","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","998","20.53"
"2024","Modelo híbrido com dias fixos de trabalho presencial","850","17.49"
"2024","Modelo 100% presencial","792","16.29"
"2025","Modelo 100% remoto","1281","39.7"
"2025","Modelo 100% presencial","670","20.76"
"2025","Modelo híbrido com dias fixos de trabalho presencial","645","19.99"
"2025","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","631","19.55"
