"ano_pesquisa","senioridade","faixa_salarial","quantidade","percentual","faixa_salarial_ordem"
"2023","Júnior","Menos de R$ 1.000/mês","22","2.1","1000"
"2023","Júnior","de R$ 1.001/mês a R$ 2.000/mês","193","18.45","1001"
"2023","Júnior","de R$ 2.001/mês a R$ 3.000/mês","211","20.17","2001"
"2023","Júnior","de R$ 3.001/mês a R$ 4.000/mês","195","18.64","3001"
"2023","Júnior","de R$ 4.001/mês a R$ 6.000/mês","294","28.11","4001"
"2023","Júnior","de R$ 6.001/mês a R$ 8.000/mês","79","7.55","6001"
"2023","Júnior","de R$ 8.001/mês a R$ 12.000/mês","43","4.11","8001"
"2023","Júnior","de R$ 12.001/mês a R$ 16.000/mês","5","0.48","12001"
"2023","Júnior","de R$ 16.001/mês a R$ 20.000/mês","3","0.29","16001"
"2023","Pleno","Menos de R$ 1.000/mês","3","0.22","1000"
"2023","Pleno","de R$ 1.001/mês a R$ 2.000/mês","16","1.15","1001"
"2023","Pleno","de R$ 2.001/mês a R$ 3.000/mês","52","3.74","2001"
"2023","Pleno","de R$ 3.001/mês a R$ 4.000/mês","126","9.05","3001"
"2023","Pleno","de R$ 4.001/mês a R$ 6.000/mês","356","25.57","4001"
"2023","Pleno","de R$ 6.001/mês a R$ 8.000/mês","369","26.51","6001"
"2023","Pleno","de R$ 8.001/mês a R$ 12.000/mês","351","25.22","8001"
"2023","Pleno","de R$ 12.001/mês a R$ 16.000/mês","80","5.75","12001"
"2023","Pleno","de R$ 16.001/mês a R$ 20.000/mês","20","1.44","16001"
"2023","Pleno","de R$ 20.001/mês a R$ 25.000/mês","7","0.5","20001"
"2023","Pleno","de R$ 25.001/mês a R$ 30.000/mês","7","0.5","25001"
"2023","Pleno","de R$ 30.001/mês a R$ 40.000/mês","3","0.22","30001"
"2023","Pleno","Acima de R$ 40.001/mês","2","0.14","40001"
"2023","Sênior","de R$ 1.001/mês a R$ 2.000/mês","1","0.07","1001"
"2023","Sênior","de R$ 2.001/mês a R$ 3.000/mês","10","0.7","2001"
"2023","Sênior","de R$ 3.001/mês a R$ 4.000/mês","12","0.85","3001"
"2023","Sênior","de R$ 4.001/mês a R$ 6.000/mês","53","3.74","4001"
"2023","Sênior","de R$ 6.001/mês a R$ 8.000/mês","133","9.37","6001"
"2023","Sênior","de R$ 8.001/mês a R$ 12.000/mês","506","35.66","8001"
"2023","Sênior","de R$ 12.001/mês a R$ 16.000/mês","393","27.7","12001"
"2023","Sênior","de R$ 16.001/mês a R$ 20.000/mês","139","9.8","16001"
"2023","Sênior","de R$ 20.001/mês a R$ 25.000/mês","73","5.14","20001"
"2023","Sênior","de R$ 25.001/mês a R$ 30.000/mês","40","2.82","25001"
"2023","Sênior","de R$ 30.001/mês a R$ 40.000/mês","33","2.33","30001"
"2023","Sênior","Acima de R$ 40.001/mês","26","1.83","40001"
"2024","Júnior","Menos de R$ 1.000/mês","26","3.0","1000"
"2024","Júnior","de R$ 1.001/mês a R$ 2.000/mês","140","16.13","1001"
"2024","Júnior","de R$ 2.001/mês a R$ 3.000/mês","188","21.66","2001"
"2024","Júnior","de R$ 3.001/mês a R$ 4.000/mês","156","17.97","3001"
"2024","Júnior","de R$ 4.001/mês a R$ 6.000/mês","218","25.12","4001"
"2024","Júnior","de R$ 6.001/mês a R$ 8.000/mês","88","10.14","6001"
"2024","Júnior","de R$ 8.001/mês a R$ 12.000/mês","40","4.61","8001"
"2024","Júnior","de R$ 12.001/mês a R$ 16.000/mês","5","0.58","12001"
"2024","Júnior","de R$ 16.001/mês a R$ 20.000/mês","2","0.23","16001"
"2024","Júnior","de R$ 20.001/mês a R$ 25.000/mês","1","0.12","20001"
"2024","Júnior","de R$ 25.001/mês a R$ 30.000/mês","2","0.23","25001"
"2024","Júnior","de R$ 30.001/mês a R$ 40.000/mês","1","0.12","30001"
"2024","Júnior","Acima de R$ 40.001/mês","1","0.12","40001"
"2024","Pleno","Menos de R$ 1.000/mês","3","0.22","1000"
"2024","Pleno","de R$ 1.001/mês a R$ 2.000/mês","8","0.58","1001"
"2024","Pleno","de R$ 2.001/mês a R$ 3.000/mês","32","2.33","2001"
"2024","Pleno","de R$ 3.001/mês a R$ 4.000/mês","88","6.4","3001"
"2024","Pleno","de R$ 4.001/mês a R$ 6.000/mês","311","22.6","4001"
"2024","Pleno","de R$ 6.001/mês a R$ 8.000/mês","390","28.34","6001"
"2024","Pleno","de R$ 8.001/mês a R$ 12.000/mês","416","30.23","8001"
"2024","Pleno","de R$ 12.001/mês a R$ 16.000/mês","80","5.81","12001"
"2024","Pleno","de R$ 16.001/mês a R$ 20.000/mês","24","1.74","16001"
"2024","Pleno","de R$ 20.001/mês a R$ 25.000/mês","10","0.73","20001"
"2024","Pleno","de R$ 25.001/mês a R$ 30.000/mês","5","0.36","25001"
"2024","Pleno","de R$ 30.001/mês a R$ 40.000/mês","9","0.65","30001"
"2024","Sênior","Menos de R$ 1.000/mês","1","0.06","1000"
"2024","Sênior","de R$ 2.001/mês a R$ 3.000/mês","7","0.45","2001"
"2024","Sênior","de R$ 3.001/mês a R$ 4.000/mês","9","0.57","3001"
