"ano_pesquisa","categoria","ranking","tecnologia","qtd_profissionais","percentual_adocao","comparabilidade"
"2023","banco_dados","1","SQL Server","1209","33.52","comparavel"
"2023","banco_dados","2","PostgreSQL","1068","29.61","comparavel"
"2023","banco_dados","3","Google BigQuery","983","27.25","comparavel"
"2023","banco_dados","4","MySQL","927","25.7","comparavel"
"2023","banco_dados","5","Databricks","807","22.37","comparavel"
"2023","bi","1","Microsoft PowerBI","2154","58.22","comparavel"
"2023","bi","2","Looker","898","24.27","comparavel"
"2023","bi","3","Tableau","713","19.27","comparavel"
"2023","bi","4","Looker Studio (Google Data Studio)","653","17.65","comparavel"
"2023","bi","5","Metabase","324","8.76","comparavel"
"2023","cloud","1","Azure (Microsoft)","1529","42.52","atencao_semantica"
"2023","cloud","2","Google Cloud (GCP)","1141","31.73","atencao_semantica"
"2023","cloud","3","Amazon Web Services (AWS)","1106","30.76","atencao_semantica"
"2023","cloud","4","Cloud Própria","251","6.98","atencao_semantica"
"2023","cloud","5","Oracle Cloud","154","4.28","atencao_semantica"
"2023","linguagem","1","SQL","3156","83.67","comparavel"
"2023","linguagem","2","Python","2825","74.89","comparavel"
"2023","linguagem","3","R","408","10.82","comparavel"
"2023","linguagem","4","Java","355","9.41","comparavel"
"2023","linguagem","5","Visual Basic/VBA","285","7.56","comparavel"
"2024","banco_dados","1","PostgreSQL","1126","31.39","comparavel"
"2024","banco_dados","2","Databricks","1116","31.11","comparavel"
"2024","banco_dados","3","SQL Server","1052","29.33","comparavel"
"2024","banco_dados","4","Google BigQuery","941","26.23","comparavel"
"2024","banco_dados","5","S3","848","23.64","comparavel"
"2024","bi","1","Microsoft PowerBI","1996","57.14","comparavel"
"2024","bi","2","Looker","831","23.79","comparavel"
"2024","bi","3","Tableau","687","19.67","comparavel"
"2024","bi","4","Looker Studio (Google Data Studio)","603","17.26","comparavel"
"2024","bi","5","Metabase","318","9.1","comparavel"
"2024","cloud","1","Amazon Web Services (AWS)","1583","45.2","comparavel"
"2024","cloud","2","Azure (Microsoft)","1108","31.64","comparavel"
"2024","cloud","3","Google Cloud (GCP)","1049","29.95","comparavel"
"2024","cloud","4","Cloud Própria","191","5.45","comparavel"
"2024","cloud","5","Oracle Cloud","143","4.08","comparavel"
"2024","linguagem","1","SQL","3145","91.58","comparavel"
"2024","linguagem","2","Python","2934","85.44","comparavel"
"2024","linguagem","3","R","352","10.25","comparavel"
"2024","linguagem","4","Java","291","8.47","comparavel"
"2024","linguagem","5","JavaScript","223","6.49","comparavel"
"2025","banco_dados","1","PostgreSQL","771","36.8","comparavel"
"2025","banco_dados","2","SQL Server","702","33.51","comparavel"
"2025","banco_dados","3","Databricks","689","32.89","comparavel"
"2025","banco_dados","4","S3","604","28.83","comparavel"
"2025","banco_dados","5","MySQL","598","28.54","comparavel"
"2025","bi","1","Microsoft PowerBI","1242","60.59","comparavel"
"2025","bi","2","Looker","475","23.17","comparavel"
"2025","bi","3","Looker Studio (Google Data Studio)","328","16.0","comparavel"
"2025","bi","4","Tableau","287","14.0","comparavel"
"2025","bi","5","Grafana","183","8.93","comparavel"
"2025","cloud","1","Amazon Web Services (AWS)","1011","49.41","comparavel"
"2025","cloud","2","Azure (Microsoft)","730","35.68","comparavel"
"2025","cloud","3","Google Cloud (GCP)","647","31.62","comparavel"
"2025","cloud","4","Cloud Própria","114","5.57","comparavel"
"2025","cloud","5","Oracle Cloud","94","4.59","comparavel"
"2025","linguagem","1","Python","1928","92.25","atencao_semantica"
"2025","linguagem","2","SQL","1763","84.35","atencao_semantica"
"2025","linguagem","3","R","327","15.65","atencao_semantica"
"2025","linguagem","4","Scala","70","3.35","atencao_semantica"
"2025","linguagem","5","C/C++/C#","49","2.34","atencao_semantica"
