"ano_pesquisa","dimensao","resposta","qtd_respondentes","percentual","ranking","percentuais_somam_100"
"2023","prioridade_empresa","iniciativa_secundaria","275","30.69","1","true"
"2023","prioridade_empresa","nao_prioridade","258","28.79","2","true"
"2023","prioridade_empresa","alta_prioridade_2_4_anos","214","23.88","3","true"
"2023","prioridade_empresa","prioridade_principal","110","12.28","4","true"
"2023","prioridade_empresa","nao_sabe","39","4.35","5","true"
"2024","prioridade_empresa","alta_prioridade_2_4_anos","325","31.1","1","true"
"2024","prioridade_empresa","iniciativa_secundaria","301","28.8","2","true"
"2024","prioridade_empresa","prioridade_principal","235","22.49","3","true"
"2024","prioridade_empresa","nao_prioridade","155","14.83","4","true"
"2024","prioridade_empresa","nao_sabe","29","2.78","5","true"
"2025","prioridade_empresa","alta_prioridade_2_4_anos","240","36.81","1","true"
"2025","prioridade_empresa","iniciativa_secundaria","169","25.92","2","true"
"2025","prioridade_empresa","prioridade_principal","155","23.77","3","true"
"2025","prioridade_empresa","nao_prioridade","74","11.35","4","true"
"2025","prioridade_empresa","nao_sabe","14","2.15","5","true"
"2025","resultado_llm_empresa","pilotos_pouco_impacto","248","38.39","1","true"
"2025","resultado_llm_empresa","producao_com_impacto","171","26.47","2","true"
"2025","resultado_llm_empresa","investigacao_planejamento","97","15.02","3","true"
"2025","resultado_llm_empresa","nao_iniciou","87","13.47","4","true"
"2025","resultado_llm_empresa","nao_sabe","43","6.66","5","true"
